start, stop
2022-02-01T00:00:00.000, 2022-02-01T09:53:13.472
2022-02-01T22:07:34.577, 2022-02-02T08:01:00.793
2022-02-02T19:14:38.207, 2022-02-03T07:41:22.507
2022-02-03T19:43:44.469, 2022-02-04T08:13:20.610
2022-02-04T19:54:40.980, 2022-02-05T08:29:13.829
2022-02-05T20:01:34.122, 2022-02-06T08:40:11.749
2022-02-06T20:07:03.882, 2022-02-07T08:49:17.770
2022-02-07T20:12:23.037, 2022-02-08T08:58:05.678
2022-02-08T20:18:33.059, 2022-02-09T09:08:00.973
2022-02-09T20:27:07.997, 2022-02-10T09:21:28.173
2022-02-10T20:42:15.282, 2022-02-11T09:46:20.081
2022-02-11T21:31:00.681, 2022-02-12T08:28:49.705
2022-02-12T18:33:13.356, 2022-02-13T07:01:11.271
2022-02-13T19:04:00.099, 2022-02-14T07:34:13.555
2022-02-14T19:14:45.847, 2022-02-15T07:50:07.050
2022-02-15T19:21:00.027, 2022-02-16T08:00:46.495
2022-02-16T19:25:04.510, 2022-02-17T08:09:08.847
2022-02-17T19:26:21.915, 2022-02-18T08:15:08.844
2022-02-18T20:00:42.616, 2022-02-19T08:41:01.189
2022-02-19T21:04:10.248, 2022-02-20T09:06:34.280
2022-02-20T22:09:10.176, 2022-02-21T09:32:49.1000
2022-02-21T23:16:59.067, 2022-02-22T10:01:05.372
2022-02-23T00:28:23.122, 2022-02-23T10:33:02.453
2022-02-24T01:42:52.922, 2022-02-24T11:10:54.590
2022-02-25T02:57:54.555, 2022-02-25T11:57:14.316
2022-02-26T04:08:48.925, 2022-02-26T12:53:56.300
2022-02-27T05:10:42.663, 2022-02-27T14:00:41.816
2022-02-28T06:01:09.843, 2022-02-28T15:14:22.837
