start, stop
2022-01-31T23:00:00.000, 2022-02-01T09:53:09.179
2022-02-01T22:07:30.004, 2022-02-02T08:01:01.073
2022-02-02T19:14:33.959, 2022-02-03T07:41:18.287
2022-02-03T19:43:40.357, 2022-02-04T08:13:16.482
2022-02-04T19:54:36.888, 2022-02-05T08:29:09.723
2022-02-05T20:01:30.035, 2022-02-06T08:40:07.651
2022-02-06T20:06:59.797, 2022-02-07T08:49:13.674
2022-02-07T20:12:18.951, 2022-02-08T08:58:01.581
2022-02-08T20:18:28.969, 2022-02-09T09:07:56.871
2022-02-09T20:27:03.897, 2022-02-10T09:21:24.056
2022-02-10T20:42:11.150, 2022-02-11T09:46:15.901
2022-02-11T21:30:56.258, 2022-02-12T08:28:49.958
2022-02-12T18:33:09.086, 2022-02-13T07:01:07.043
2022-02-13T19:03:55.989, 2022-02-14T07:34:09.428
2022-02-14T19:14:41.759, 2022-02-15T07:50:02.948
2022-02-15T19:20:55.946, 2022-02-16T08:00:42.402
2022-02-16T19:25:00.435, 2022-02-17T08:09:04.759
2022-02-17T19:26:17.855, 2022-02-18T08:15:04.740
2022-02-18T20:00:38.232, 2022-02-19T08:40:57.088
2022-02-19T21:04:05.874, 2022-02-19T21:21:25.723
2022-02-19T22:37:13.993, 2022-02-20T09:06:30.165
2022-02-20T22:09:05.827, 2022-02-21T00:22:31.483
2022-02-21T01:30:34.313, 2022-02-21T09:32:45.859
2022-02-21T23:16:54.751, 2022-02-22T03:22:42.524
2022-02-22T04:26:01.160, 2022-02-22T10:01:01.198
2022-02-23T00:28:18.839, 2022-02-23T06:21:17.454
2022-02-23T07:24:07.266, 2022-02-23T10:32:58.244
2022-02-24T01:42:48.668, 2022-02-24T09:18:49.553
2022-02-24T10:24:59.359, 2022-02-24T11:10:50.348
2022-02-25T02:57:50.325, 2022-02-25T11:57:10.048
2022-02-26T04:08:44.715, 2022-02-26T12:53:52.017
2022-02-27T05:10:38.470, 2022-02-27T14:00:37.531
2022-02-28T06:01:05.667, 2022-02-28T15:14:18.557
